chaps_id,birth_date,breed,reg_no,reg_name,elec_id,sire_id,dam_id,sex,sex_date,birth_weight,calving_ease,state,herd_id,cow_age,,,
195,2013-04-28,LO,,,,20430,10210,3,0000-00-00,50,1,,H38,2,,,
196,2013-04-29,LOLOARAN,,,,20430,10198,2,0000-00-00,35,1,,H38,2,,,
197,2013-04-30,LOLOANAN,,,,20430,10208,3,0000-00-00,48,1,,H38,2,,,
198,2013-05-01,LOLOARAN,,,,20430,10203,2,0000-00-00,45,1,,H38,2,,,
199,2013-05-03,ARLOANAN,,,,20437,10184,3,0000-00-00,60,1,,H38,3,,,
200,2013-05-03,ARLOANAN,,,,20437,10196,2,0000-00-00,60,1,,H38,3,,,
201,2013-05-05,LOLOARAN,,,,20430,10197,3,0000-00-00,63,1,,H38,2,,,
202,2013-05-05,ARLOANHH,,,,20435,10142,2,0000-00-00,60,1,,H38,5,,,
203,2013-05-06,ARLOANSM,,,,20437,10185,2,0000-00-00,74,1,,H38,3,,,72.63953488
204,2013-05-08,ARLOARHH,,,,20471,10056,3,0000-00-00,84,1,,H38,10,,,
205,2013-05-08,LOLOARAN,,,,20430,10204,3,0000-00-00,54,1,,H38,2,,,
206,2013-05-08,LO,,,,20430,10212,2,0000-00-00,45,1,,H38,2,,,
207,2013-05-09,ARLOARAN,,,,20435,10129,3,0000-00-00,75,1,,H38,5,,,
208,2013-05-08,ARLOAN,,,,20435,10088,2,0000-00-00,72,1,,H38,7,,,
209,2013-05-08,ARLOANAN,,,,20435,10157,3,0000-00-00,72,1,,H38,5,,,
210,2013-05-10,ARARLOAN,,,,20435,448,3,0000-00-00,73,1,,H38,4,,,
211,2013-05-10,LOLOARHH,,,,20430,10199,3,0000-00-00,62,1,,H38,2,,,
212,2013-05-11,ARLOHH,,,,20472,467,3,0000-00-00,76,1,,H38,4,,,
213,2013-05-11,ARLOANMX,,,,20437,10183,2,0000-00-00,65,1,,H38,3,,,
214,2013-05-12,ARLOARAN,,,,20435,10134,3,0000-00-00,83,1,,H38,5,,,
215,2013-05-12,ARLOANHH,,,,20435,10104,3,0000-00-00,80,1,,H38,7,,,
216,2013-05-14,ARARLOAN,,,,20447,466,3,0000-00-00,89,1,,H38,4,,,
217,2013-05-15,LOLOANAR,,,,20430,10202,3,0000-00-00,50,1,,H38,2,,,
218,2013-05-15,ARLOANAN,,,,20437,10188,3,0000-00-00,70,1,,H38,3,,,
219,2013-05-15,ARLOANHH,,,,20447,10108,2,0000-00-00,70,1,,H38,7,,,
220,2013-05-16,ARLOANHH,,,,20447,10139,3,0000-00-00,90,1,,H38,5,,,
221,2013-05-16,ARLOLOHH,,,,20447,373,2,0000-00-00,75,1,,H38,7,,,
222,2013-05-16,ARLOANAR,,,,20437,10180,3,0000-00-00,70,1,,H38,3,,,
223,2013-05-17,LO,,,,20430,10213,3,0000-00-00,70,1,,H38,2,,,
224,2013-05-17,ARARLOAN,,,,20447,471,3,0000-00-00,64,1,,H38,4,,,
225,2013-05-18,ARLOHHAR,,,,20472,372,2,0000-00-00,63,1,,H38,7,,,
226,2013-05-18,ARLOARHH,,,,20447,10124,2,0000-00-00,84,1,,H38,5,,,
227,2013-05-18,ARANARHH,,,,20447,10163,2,0000-00-00,80,1,,H38,4,,,
228,2013-05-18,ARARLOAN,,,,20435,400,3,0000-00-00,70,1,,H38,5,,,
229,2013-05-19,ARLOAN,,,,20472,10111,3,0000-00-00,84,1,,H38,7,,,
230,2013-05-19,ARLOANAN,,,,20437,10194,2,0000-00-00,88,1,,H38,3,,,
231,2013-05-19,ARLOANAN,,,,20471,10113,3,0000-00-00,85,1,,H38,7,,,
232,2013-05-19,ARLOLOAN,,,,20471,375,2,0000-00-00,79,1,,H38,7,,,
233,2013-05-19,ARLOANHH,,,,20435,10138,3,0000-00-00,70,1,,H38,5,,,
234,2013-05-19,LOLOANHH,,,,20430,10207,2,0000-00-00,51,1,,H38,2,,,
235,2013-05-19,LO,,,,20430,10209,3,0000-00-00,54,1,,H38,2,,,
236,2013-05-19,LOLOANHH,,,,20430,10200,3,0000-00-00,67,1,,H38,2,,,
237,2013-05-20,LO,,,,20430,10214,2,0000-00-00,54,1,,H38,2,,,
238,2013-05-20,ARLOANHH,,,,20471,10062,3,0000-00-00,80,1,,H38,9,,,
239,2013-05-20,ARLOANAN,,,,20437,10195,2,0000-00-00,60,1,,H38,3,,,
240,2013-05-20,ARLOANHH,,,,20447,10115,3,0000-00-00,73,1,,H38,7,,,
241,2013-05-20,LOLOARAN,,,,20430,10206,2,0000-00-00,54,1,,H38,2,,,
242,2013-05-21,LOLOARAN,,,,20430,10201,3,0000-00-00,56,1,,H38,2,,,
243,2013-05-21,ARLOANHH,,,,20471,10103,2,0000-00-00,75,1,,H38,7,,,
244,2013-05-21,ARLOARAN,,,,20437,10181,3,0000-00-00,75,1,,H38,3,,,
245,2013-05-21,ARARLOAN,,,,20435,480,3,0000-00-00,80,1,,H38,4,,,
246,2013-05-21,ARARLOAN,,,,20447,402,3,0000-00-00,83,1,,H38,5,,,
247,2013-05-21,ARLOLOHH,,,,20447,414,2,0000-00-00,73,1,,H38,5,,,
248,2013-05-21,ARLOANHH,,,,20472,10102,2,0000-00-00,84,1,,H38,7,,,
249,2013-05-22,ARARLOAN,,,,20435,453,2,0000-00-00,75,1,,H38,4,,,
250,2013-05-23,ARLOANAN,,,,20447,10086,2,0000-00-00,70,1,,H38,7,,,
251,2013-05-24,ARARLOAN,,,,20435,457,2,0000-00-00,70,1,,H38,4,,,
252,2013-05-24,ARLOANGV,,,,20471,10059,2,0000-00-00,84,1,,H38,9,,,
253,2013-05-24,ARARLOLO,,,,20435,478,3,0000-00-00,89,1,,H38,4,,,
254,2013-05-24,ARLOANAN,,,,20447,10096,2,0000-00-00,69,1,,H38,7,,,
255,2013-05-25,ARARLOLO,,,,20447,417,3,0000-00-00,93,1,,H38,5,,,
256,2013-05-25,ARLOANAN,,,,20437,10192,3,0000-00-00,77,1,,H38,3,,,
257,2013-05-25,ARLOANHH,,,,20447,10156,3,0000-00-00,72,1,,H38,5,,,
258,2013-05-25,ARLOANAN,,,,20437,10187,2,0000-00-00,64,1,,H38,3,,,
259,2013-05-25,ARLOAN,,,,20437,10193,2,0000-00-00,70,1,,H38,3,,,
260,2013-05-26,ARLOAN,,,,20447,10093,2,0000-00-00,69,1,,H38,7,,,
261,2013-05-26,ARARLOAN,,,,20447,472,3,0000-00-00,93,1,,H38,4,,,
262,2013-05-27,ARLOANAN,,,,20437,10191,2,0000-00-00,74,1,,H38,3,,,
263,2013-05-29,ARARLOAN,,,,20435,424,3,0000-00-00,85,1,,H38,5,,,
264,2013-05-29,ARLOANAN,,,,20472,10119,3,0000-00-00,110,1,,H38,7,,,
265,2013-05-29,ARARLOAN,,,,20447,403,2,0000-00-00,75,1,,H38,5,,,
266,2013-05-29,LO,,,,20430,10216,3,0000-00-00,65,1,,H38,2,,,
267,2013-05-29,ARLOANAN,,,,20447,10118,2,0000-00-00,110,1,,H38,7,,,
268,2013-05-30,ARARANAN,,,,20447,10176,2,0000-00-00,85,1,,H38,4,,,
269,2013-05-30,ARARLOAN,,,,20435,461,2,0000-00-00,74,1,,H38,4,,,
270,2013-06-02,ARLOHHAR,,,,20447,420,3,0000-00-00,86,1,,H38,5,,,
271,2013-06-03,ARLOANAN,,,,20437,10186,2,0000-00-00,72,1,,H38,3,,,
272,2013-06-03,ARARLOAN,,,,20435,434,2,0000-00-00,90,1,,H38,5,,,
273,2013-06-03,ARLOARHH,,,,20472,10095,3,0000-00-00,100,1,,H38,7,,,
274,2013-06-03,ARLOARHH,,,,20437,10182,2,0000-00-00,71,1,,H38,3,,,
275,2013-06-07,LOLOARAN,,,,20430,10205,2,0000-00-00,65,1,,H38,2,,,
276,2013-06-06,ARANLOAN,,,,20435,463,3,0000-00-00,96,1,,H38,4,,,
277,2013-06-07,ARANLOHH,,,,20435,456,2,0000-00-00,75,1,,H38,4,,,
278,2013-06-09,ARLOARAN,,,,20435,10131,2,0000-00-00,83,1,,H38,5,,,
279,2013-05-03,LO,,,,20430,10215,2,0000-00-00,50,1,,H38,2,,,
280,2013-06-06,LO,,,,20430,10211,3,0000-00-00,80,1,,H38,2,,,
