HerdID,Chaps_ID,CalfID,birth_date,breed,registration,regname,elecid,sire_chapsID,SireID,Cow_chapsID,CowID,CowAge,sex,birthwt,calvingease,state,sex_date
H38,1,0001A,1990-03-06,AN,,,,20177,ANGS,-2,Unknown,2,2,53,,,
H38,2,0005A,1990-03-12,AN,,,,20177,ANGS,-2,Unknown,2,2,70,,,
H38,3,0006A,1990-03-15,CH,,,,20196,C109,-2,Unknown,8,2,102,,,
H38,4,0007A,1990-03-15,CH,,,,20196,C109,-2,Unknown,9,2,80,,,
H38,5,0009A,1990-03-17,CH,,,,20152,8060,-2,Unknown,8,2,84,,,
H38,6,0010A,1990-03-18,CH,,,,20201,C525,-2,Unknown,6,2,90,,,
H38,7,0011A,1990-03-18,CH,,,,20196,C109,-2,Unknown,6,2,110,,,
H38,8,0012A,1990-03-18,CH,,,,20204,C718,-2,Unknown,3,2,122,,,
H38,9,0013A,1990-03-20,CH,,,,20201,C525,-2,Unknown,7,2,82,,,
H38,10,0015A,1990-03-21,CH,,,,20196,C109,-2,Unknown,8,2,80,,,
H38,11,0019A,1990-03-23,CH,,,,20201,C525,-2,Unknown,8,2,104,,,
H38,12,0022A,1990-03-26,CH,,,,20201,C525,-2,Unknown,8,2,70,,,
H38,13,0023A,1990-03-27,CH,,,,20201,C525,-2,Unknown,7,2,90,,,
H38,14,0024A,1990-03-28,CH,,,,20196,C109,-2,Unknown,8,2,100,,,
H38,15,0027A,1990-03-30,CH,,,,20200,C406,-2,Unknown,3,2,96,,,
H38,16,0030A,1990-03-31,CH,,,,20200,C406,-2,Unknown,5,2,89,,,
H38,17,0032A,1990-04-02,CH,,,,20200,C406,-2,Unknown,6,2,68,,,
H38,18,0033A,1990-04-06,CH,,,,20150,8018,-2,Unknown,5,2,80,,,
H38,19,0034A,1990-04-08,CH,,,,20197,C119,-2,Unknown,11,2,76,,,
H38,20,0035A,1990-04-08,CH,,,,20150,8018,-2,Unknown,7,2,102,,,
H38,21,0038A,1990-04-13,CH,,,,20198,C133,-2,Unknown,5,2,100,,,
H38,22,0039A,1990-04-14,CH,,,,20201,C525,-2,Unknown,8,2,82,,,
H38,23,0040A,1990-04-15,CH,,,,20196,C109,-2,Unknown,8,2,100,,,
H38,24,0042A,1990-04-25,CH,,,,20201,C525,-2,Unknown,9,2,84,,,
H38,25,0043A,1990-04-26,CH,,,,20201,C525,-2,Unknown,6,2,57,,,
H38,26,0501,1990-02-28,CH,,,,20150,8018,-2,Unknown,5,2,70,,,
H38,27,0502,1990-03-01,CH,,,,20150,8018,-2,Unknown,6,2,97,,,
H38,28,0504,1990-03-07,CH,,,,20150,8018,-2,Unknown,4,2,81,,,
H38,29,0505,1990-03-10,CH,,,,20196,C109,-2,Unknown,5,2,75,,,
H38,30,0506,1990-03-10,CH,,,,20210,CH13,-2,Unknown,7,2,85,,,
H38,31,0507,1990-03-10,CH,,,,20210,CH13,-2,Unknown,7,2,93,,,
H38,32,0508,1990-03-10,CH,,,,20205,C773,-2,Unknown,6,2,78,,,
H38,33,0509,1990-03-12,CH,,,,20205,C773,-2,Unknown,7,2,86,,,
H38,34,0510,1990-03-12,CH,,,,20152,8060,-2,Unknown,9,2,75,,,
H38,35,0511,1990-03-13,CH,,,,20198,C133,-2,Unknown,7,2,87,,,
H38,36,0512,1990-03-13,CH,,,,20210,CH13,-2,Unknown,6,2,97,,,
H38,37,0513,1990-03-15,CH,,,,20204,C718,-2,Unknown,4,2,84,,,
H38,38,0514,1990-03-14,CH,,,,20197,C119,-2,Unknown,4,2,80,,,
H38,39,0515,1990-03-15,CH,,,,20202,C613,-2,Unknown,6,2,72,,,
H38,40,0516,1990-03-16,CH,,,,20204,C718,-2,Unknown,5,2,90,,,
H38,41,0517,1990-03-15,CH,,,,20150,8018,-2,Unknown,4,2,84,,,
H38,42,0518,1990-03-16,CH,,,,20210,CH13,-2,Unknown,8,2,90,,,
H38,43,0519,1990-03-16,CH,,,,20210,CH13,-2,Unknown,6,2,115,,,
H38,44,0521,1990-03-18,CH,,,,20204,C718,-2,Unknown,4,2,97,,,
H38,45,0522,1990-03-19,CH,,,,20200,C406,-2,Unknown,9,2,79,,,
H38,46,0523,1990-03-19,CH,,,,20209,CH11,-2,Unknown,5,2,72,,,
H38,47,0524,1990-03-19,CH,,,,20209,CH11,-2,Unknown,7,2,66,,,
H38,48,0525,1990-03-22,CH,,,,20197,C119,-2,Unknown,4,2,88,,,
H38,49,0526,1990-03-23,CH,,,,20203,C710,-2,Unknown,8,2,92,,,
H38,50,0527,1990-03-23,CH,,,,20205,C773,-2,Unknown,7,2,100,,,
H38,51,0528,1990-03-23,CH,,,,20204,C718,-2,Unknown,5,2,115,,,
H38,52,0529,1990-03-24,CH,,,,20200,C406,-2,Unknown,9,2,70,,,
H38,53,0530,1990-03-23,CH,,,,20205,C773,-2,Unknown,6,2,92,,,
H38,54,0532,1990-03-26,CH,,,,20205,C773,-2,Unknown,6,2,93,,,
H38,55,0533,1990-03-26,CH,,,,20201,C525,-2,Unknown,4,2,97,,,
H38,56,0534,1990-03-26,CH,,,,20150,8018,-2,Unknown,4,2,81,,,
H38,57,0536,1990-03-28,CH,,,,20203,C710,-2,Unknown,5,2,70,,,
H38,58,0537,1990-03-30,CH,,,,20210,CH13,-2,Unknown,6,2,87,,,
H38,59,0538,1990-03-30,CH,,,,20204,C718,-2,Unknown,7,2,87,,,
H38,60,0539,1990-03-30,CH,,,,20152,8060,-2,Unknown,5,2,88,,,
H38,61,0540,1990-03-31,CH,,,,20203,C710,-2,Unknown,7,2,84,,,
H38,62,0541,1990-03-31,CH,,,,20197,C119,-2,Unknown,6,2,78,,,
H38,63,0542,1990-03-31,CH,,,,20197,C119,-2,Unknown,9,2,88,,,
H38,64,0543,1990-03-31,CH,,,,20204,C718,-2,Unknown,7,2,110,,,
H38,65,0544,1990-04-02,CH,,,,20200,C406,-2,Unknown,4,2,82,,,
H38,66,0545,1990-04-06,CH,,,,20197,C119,-2,Unknown,4,2,81,,,
H38,67,0546,1990-04-06,CH,,,,20198,C133,-2,Unknown,6,2,82,,,
H38,68,0547,1990-04-06,CH,,,,20210,CH13,-2,Unknown,6,2,108,,,
H38,69,0548,1990-04-08,CH,,,,20205,C773,-2,Unknown,7,2,95,,,
H38,70,0549,1990-04-08,CH,,,,20210,CH13,-2,Unknown,7,2,82,,,
H38,71,0550,1990-04-12,CH,,,,20204,C718,-2,Unknown,8,2,85,,,
H38,72,0551,1990-04-21,CH,,,,20197,C119,-2,Unknown,4,2,95,,,
H38,73,0552,1990-05-01,CH,,,,20197,C119,-2,Unknown,7,2,69,,,
H38,74,3001,1993-01-25,LM,,,,20429,UNKNLM,-2,Unknown,2,2,77,,,
H38,75,3003,1993-01-28,LM,,,,20429,UNKNLM,-2,Unknown,2,2,82,,,
H38,76,3008,1993-01-30,LM,,,,20429,UNKNLM,-2,Unknown,2,2,87,,,
H38,77,3011,1993-02-02,CH,,,,20426,UNKNCH,-2,Unknown,2,2,65,,,
H38,78,3015,1993-02-03,CH,,,,20426,UNKNCH,-2,Unknown,2,2,65,,,
H38,79,3016,1993-02-03,LM,,,,20429,UNKNLM,-2,Unknown,2,2,85,,,
H38,80,3024,1993-02-06,LM,,,,20429,UNKNLM,-2,Unknown,2,2,70,,,
H38,81,3035,1993-02-11,AN,,,,20175,AN74,-2,Unknown,2,2,70,,,
H38,82,3036,1993-02-11,LM,,,,20429,UNKNLM,-2,Unknown,2,2,92,,,
H38,83,3041,1993-02-13,AN,,,,20175,AN74,-2,Unknown,2,2,80,,,
H38,84,3044,1993-02-13,AN,,,,20175,AN74,-2,Unknown,2,2,70,,,
H38,85,3052,1993-02-15,AN,,,,20175,AN74,-2,Unknown,2,2,72,,,
H38,86,3059,1993-02-16,AN,,,,20175,AN74,-2,Unknown,2,2,82,,,
H38,87,3081,1993-03-01,AN,,,,20172,AN20,-2,Unknown,2,2,68,,,
H38,88,3087,1993-03-06,AN,,,,20168,A114,-2,Unknown,9,2,84,,,
H38,89,3088,1993-03-07,AN,,,,20172,AN20,-2,Unknown,2,2,74,,,
H38,90,3089,1993-03-07,AN,,,,20168,A114,-2,Unknown,9,2,98,,,
H38,91,3092,1993-03-10,CH,,,,20157,919,-2,Unknown,12,2,74,,,
H38,92,3093,1993-03-10,CH,,,,20157,919,-2,Unknown,7,2,72,,,
H38,93,3094,1993-03-11,CH,,,,20131,710,-2,Unknown,10,2,66,,,
H38,94,3096,1993-03-11,CH,,,,20426,UNKNCH,-2,Unknown,15,2,82,,,
H38,95,3098,1993-03-11,CH,,,,20170,A136,-2,Unknown,11,2,78,,,
H38,96,3107,1993-03-12,AN,,,,20168,A114,-2,Unknown,9,2,96,,,
H38,97,3109,1993-03-12,CH,,,,20150,8018,-2,Unknown,9,2,76,,,
H38,98,3114,1993-03-14,CH,,,,20162,937,-2,Unknown,7,2,96,,,
H38,99,3115,1993-03-14,CH,,,,20157,919,-2,Unknown,9,2,66,,,
H38,100,3118,1993-03-14,CH,,,,20150,8018,-2,Unknown,7,2,90,,,
H38,101,3120,1993-03-14,CH,,,,20000,0133,-2,Unknown,8,2,86,,,
H38,102,3123,1993-03-15,CH,,,,20152,8060,-2,Unknown,9,2,84,,,
H38,103,3128,1993-03-16,CH,,,,20131,710,-2,Unknown,7,2,94,,,
H38,104,3129,1993-03-16,CH,,,,20131,710,-2,Unknown,10,2,94,,,
H38,105,3130,1993-03-16,CH,,,,20169,A118,-2,Unknown,10,2,72,,,
H38,106,3131,1993-03-17,CH,,,,20170,A136,-2,Unknown,8,2,96,,,
H38,107,3132,1993-03-17,CH,,,,20165,958,-2,Unknown,9,2,76,,,
H38,108,3133,1993-03-18,CH,,,,20000,0133,-2,Unknown,9,2,72,,,
H38,109,3139,1993-03-17,CH,,,,20131,710,-2,Unknown,4,2,74,,,
H38,110,3140,1993-03-18,CH,,,,20131,710,-2,Unknown,9,2,90,,,
H38,111,3141,1993-03-18,CH,,,,20165,958,-2,Unknown,9,2,96,,,
H38,112,3142,1993-03-18,CH,,,,20155,9136,-2,Unknown,10,2,86,,,
H38,113,3143,1993-03-18,CH,,,,20131,710,-2,Unknown,10,2,128,,,
H38,114,3146,1993-03-19,CH,,,,20170,A136,-2,Unknown,7,2,85,,,
H38,115,3147,1993-03-20,CH,,,,20155,9136,-2,Unknown,8,2,93,,,
H38,116,3148,1993-03-19,CH,,,,20131,710,-2,Unknown,14,2,89,,,
H38,117,3152,1993-03-20,CH,,,,20169,A118,-2,Unknown,11,2,85,,,
H38,118,3153,1993-03-21,CH,,,,20104,41,-2,Unknown,10,2,86,,,
H38,119,3154,1993-03-21,CH,,,,20157,919,-2,Unknown,7,2,88,,,
H38,120,3155,1993-03-21,CH,,,,20131,710,-2,Unknown,5,2,85,,,
H38,121,3157,1993-03-22,CH,,,,20157,919,-2,Unknown,7,2,95,,,
H38,122,3161,1993-03-22,CH,,,,20426,UNKNCH,-2,Unknown,13,2,88,,,
H38,123,3167,1993-03-19,AN,,,,20173,AN22,-2,Unknown,2,2,80,,,
H38,124,3170,1993-03-24,CH,,,,20131,710,-2,Unknown,10,2,72,,,
H38,125,3175,1993-03-25,CH,,,,20165,958,-2,Unknown,12,2,92,,,
H38,126,3176,1993-03-25,CH,,,,20157,919,-2,Unknown,7,2,68,,,
H38,127,3179,1993-03-26,CH,,,,20170,A136,-2,Unknown,10,2,89,,,
H38,128,3181,1993-03-26,CH,,,,20170,A136,-2,Unknown,8,2,79,,,
H38,129,3182,1993-03-26,CH,,,,20114,525,-2,Unknown,6,2,92,,,
H38,130,3183,1993-03-23,AN,,,,20173,AN22,-2,Unknown,2,2,70,,,
H38,131,3184,1993-03-26,CH,,,,20162,937,-2,Unknown,3,2,80,,,
H38,132,3186,1993-03-27,CH,,,,20170,A136,-2,Unknown,14,2,88,,,
H38,133,3187,1993-03-27,CH,,,,20152,8060,-2,Unknown,7,2,76,,,
H38,134,3188,1993-03-27,CH,,,,20114,525,-2,Unknown,4,2,96,,,
H38,135,3190,1993-03-28,CH,,,,20155,9136,-2,Unknown,12,2,80,,,
H38,136,3191,1993-03-27,CH,,,,20131,710,-2,Unknown,13,2,68,,,
H38,137,3192,1993-03-28,CH,,,,20131,710,-2,Unknown,9,2,85,,,
H38,138,3194,1993-03-28,CH,,,,20157,919,-2,Unknown,7,2,95,,,
H38,139,3198,1993-03-29,CH,,,,20169,A118,-2,Unknown,7,2,90,,,
H38,140,3202,1993-03-29,CH,,,,20162,937,-2,Unknown,3,2,84,,,
H38,141,3207,1993-03-30,CH,,,,20162,937,-2,Unknown,3,2,80,,,
H38,142,3213,1993-03-30,CH,,,,20150,8018,-2,Unknown,5,2,82,,,
H38,143,3214,1993-03-30,CH,,,,20169,A118,-2,Unknown,7,2,95,,,
H38,144,3217,1993-03-30,CH,,,,20162,937,-2,Unknown,12,2,98,,,
H38,145,3219,1993-03-31,CH,,,,20152,8060,-2,Unknown,7,2,66,,,
H38,146,3220,1993-03-31,CH,,,,20169,A118,-2,Unknown,10,2,92,,,
H38,147,3221,1993-03-30,CH,,,,20170,A136,-2,Unknown,8,2,60,,,
H38,148,3227,1993-04-01,CH,,,,20162,937,-2,Unknown,11,2,100,,,
H38,149,3230,1993-04-01,CH,,,,20000,0133,-2,Unknown,7,2,80,,,
H38,150,3231,1993-04-02,CH,,,,20157,919,-2,Unknown,11,2,78,,,
H38,151,3233,1993-04-02,CH,,,,20169,A118,-2,Unknown,5,2,90,,,
H38,152,3234,1993-04-01,CH,,,,20155,9136,-2,Unknown,9,2,108,,,
H38,153,3239,1993-04-02,CH,,,,20170,A136,-2,Unknown,12,2,80,,,
H38,154,3241,1993-03-31,CH,,,,20162,937,-2,Unknown,3,2,92,,,
H38,155,3243,1993-04-02,CH,,,,20162,937,-2,Unknown,4,2,100,,,
H38,156,3247,1993-04-06,CH,,,,20162,937,-2,Unknown,3,2,72,,,
H38,157,3251,1993-04-03,CH,,,,20157,919,-2,Unknown,8,2,80,,,
H38,158,3253,1993-04-03,CH,,,,20104,41,-2,Unknown,8,2,100,,,
H38,159,3255,1993-04-03,CH,,,,20157,919,-2,Unknown,12,2,70,,,
H38,160,3262,1993-04-03,CH,,,,20157,919,-2,Unknown,7,2,95,,,
H38,161,3266,1993-04-05,CH,,,,20131,710,-2,Unknown,8,2,82,,,
H38,162,3269,1993-04-06,CH,,,,20131,710,-2,Unknown,10,2,88,,,
H38,163,3270,1993-04-06,CH,,,,20165,958,-2,Unknown,7,2,88,,,
H38,164,3272,1993-04-06,CH,,,,20155,9136,-2,Unknown,4,2,82,,,
H38,165,3273,1993-04-07,CH,,,,20131,710,-2,Unknown,8,2,80,,,
H38,166,3274,1993-04-07,CH,,,,20169,A118,-2,Unknown,12,2,91,,,
H38,167,3277,1993-04-16,CH,,,,20162,937,-2,Unknown,10,2,82,,,
H38,168,3280,1993-04-07,CH,,,,20170,A136,-2,Unknown,9,2,90,,,
H38,169,3281,1993-04-07,CH,,,,20150,8018,-2,Unknown,7,2,76,,,
H38,170,3284,1993-04-08,CH,,,,20165,958,-2,Unknown,8,2,84,,,
H38,171,3285,1993-04-08,CH,,,,20157,919,-2,Unknown,8,2,94,,,
H38,172,3286,1993-04-08,CH,,,,20169,A118,-2,Unknown,7,2,70,,,
H38,173,3287,1993-04-08,CH,,,,20150,8018,-2,Unknown,7,2,110,,,
H38,174,3291,1993-04-09,CH,,,,20165,958,-2,Unknown,4,2,72,,,
H38,175,3295,1993-04-11,CH,,,,20152,8060,-2,Unknown,12,2,78,,,
H38,176,3296,1993-04-11,CH,,,,20157,919,-2,Unknown,7,2,81,,,
H38,177,3299,1993-04-12,CH,,,,20131,710,-2,Unknown,7,2,99,,,
H38,178,3304,1993-04-15,CH,,,,20152,8060,-2,Unknown,4,2,90,,,
H38,179,3305,1993-04-16,CH,,,,20169,A118,-2,Unknown,11,2,82,,,
H38,180,3308,1993-04-18,CH,,,,20131,710,-2,Unknown,9,2,91,,,
H38,181,3310,1993-04-18,CH,,,,20162,937,-2,Unknown,3,2,88,,,
H38,182,3311,1993-04-18,CH,,,,20162,937,-2,Unknown,9,2,98,,,
H38,183,3315,1993-04-20,CH,,,,20165,958,-2,Unknown,10,2,90,,,
H38,184,3318,1993-04-21,CH,,,,20104,41,-2,Unknown,8,2,94,,,
H38,185,3319,1993-04-22,CH,,,,20114,525,-2,Unknown,8,2,82,,,
H38,186,3320,1993-04-22,CH,,,,20155,9136,-2,Unknown,8,2,79,,,
H38,187,3322,1993-04-23,CH,,,,20131,710,-2,Unknown,7,2,100,,,
H38,188,3324,1993-04-24,CH,,,,20150,8018,-2,Unknown,7,2,99,,,
H38,189,3325,1993-04-28,CH,,,,20114,525,-2,Unknown,10,2,114,,,
H38,190,3326,1993-04-29,CH,,,,20000,0133,-2,Unknown,9,2,112,,,
H38,191,3330,1993-05-03,CH,,,,20150,8018,-2,Unknown,7,2,65,,,
H38,192,3331,1993-05-03,CH,,,,20170,A136,-2,Unknown,9,2,108,,,
H38,193,3337,1993-05-14,CH,,,,20114,525,-2,Unknown,12,2,69,,,
H38,194,3338,1993-05-17,CH,,,,20426,UNKNCH,-2,Unknown,4,2,89,,,
H38,195,A3001,2013-04-28,LO,,,,20430,UNKNLO,10210,Y1230,2,3,50,1,,
H38,196,A3002,2013-04-29,LOLOARAN,,,,20430,UNKNLO,10198,Y1008,2,2,35,1,,
H38,197,A3003,2013-04-30,LOLOANAN,,,,20430,UNKNLO,10208,Y1209,2,3,48,1,,
H38,198,A3004,2013-05-01,LOLOARAN,,,,20430,UNKNLO,10203,Y1054,2,2,45,1,,
H38,199,A3005,2013-05-03,ARLOANAN,,,,20437,V131,10184,X0262,3,3,60,1,,
H38,200,A3006,2013-05-03,ARLOANAN,,,,20437,V131,10196,X0298,3,2,60,1,,
H38,201,A3010,2013-05-05,LOLOARAN,,,,20430,UNKNLO,10197,Y1002,2,3,63,1,,
H38,202,A3011,2013-05-05,ARLOANHH,,,,20435,V103,10142,U8116,5,2,60,1,,
H38,203,A3012,2013-05-06,ARLOANSM,,,,20437,V131,10185,X0264,3,2,74,1,,
H38,204,A3018,2013-05-08,ARLOARHH,,,,20471,X146,10056,N3099,10,3,84,1,,
H38,205,A3019,2013-05-08,LOLOARAN,,,,20430,UNKNLO,10204,Y1073,2,3,54,1,,
H38,206,A3020,2013-05-08,LO,,,,20430,UNKNLO,10212,Y1234,2,2,45,1,,
H38,207,A3021,2013-05-09,ARLOARAN,,,,20435,V103,10129,U8039,5,3,75,1,,
H38,208,A3022,2013-05-08,ARLOAN,,,,20435,V103,10088,S6104,7,2,72,1,,
H38,209,A3023,2013-05-08,ARLOANAN,,,,20435,V103,10157,U8302,5,3,72,1,,
H38,210,A3031,2013-05-10,ARARLOAN,,,,20435,V103,448,W9053,4,3,73,1,,
H38,211,A3032,2013-05-10,LOLOARHH,,,,20430,UNKNLO,10199,Y1019,2,3,62,1,,
H38,212,A3033,2013-05-11,ARLOHH,,,,20472,X187,467,W9157,4,3,76,1,,
H38,213,A3034,2013-05-11,ARLOANMX,,,,20437,V131,10183,X0259,3,2,65,1,,
H38,214,A3045,2013-05-12,ARLOARAN,,,,20435,V103,10134,U8054,5,3,83,1,,
H38,215,A3046,2013-05-12,ARLOANHH,,,,20435,V103,10104,S6183,7,3,80,1,,
H38,216,A3055,2013-05-14,ARARLOAN,,,,20447,W12,466,W9148,4,3,89,1,,
H38,217,A3056,2013-05-15,LOLOANAR,,,,20430,UNKNLO,10202,Y1027,2,3,50,1,,
H38,218,A3065,2013-05-15,ARLOANAN,,,,20437,V131,10188,X0271,3,3,70,1,,
H38,219,A3066,2013-05-15,ARLOANHH,,,,20447,W12,10108,S6197,7,2,70,1,,
H38,220,A3076,2013-05-16,ARLOANHH,,,,20447,W12,10139,U8082,5,3,90,1,,
H38,221,A3077,2013-05-16,ARLOLOHH,,,,20447,W12,373,S6093,7,2,75,1,,
H38,222,A3078,2013-05-16,ARLOANAR,,,,20437,V131,10180,X0087,3,3,70,1,,
H38,223,A3080,2013-05-17,LO,,,,20430,UNKNLO,10213,Y1235,2,3,70,1,,
H38,224,A3089,2013-05-17,ARARLOAN,,,,20447,W12,471,W9187,4,3,64,1,,
H38,225,A3094,2013-05-18,ARLOHHAR,,,,20472,X187,372,S6072,7,2,63,1,,
H38,226,A3095,2013-05-18,ARLOARHH,,,,20447,W12,10124,U8012,5,2,84,1,,
H38,227,A3096,2013-05-18,ARANARHH,,,,20447,W12,10163,W9070,4,2,80,1,,
H38,228,A3097,2013-05-18,ARARLOAN,,,,20435,V103,400,U8020,5,3,70,1,,
H38,229,A3102,2013-05-19,ARLOAN,,,,20472,X187,10111,S6230,7,3,84,1,,
H38,230,A3103,2013-05-19,ARLOANAN,,,,20437,V131,10194,X0293,3,2,88,1,,
H38,231,A3104,2013-05-19,ARLOANAN,,,,20471,X146,10113,S6242,7,3,85,1,,
H38,232,A3105,2013-05-19,ARLOLOAN,,,,20471,X146,375,S6096,7,2,79,1,,
H38,233,A3106,2013-05-19,ARLOANHH,,,,20435,V103,10138,U8081,5,3,70,1,,
H38,234,A3107,2013-05-19,LOLOANHH,,,,20430,UNKNLO,10207,Y1116,2,2,51,1,,
H38,235,A3108,2013-05-19,LO,,,,20430,UNKNLO,10209,Y1229,2,3,54,1,,
H38,236,A3109,2013-05-19,LOLOANHH,,,,20430,UNKNLO,10200,Y1020,2,3,67,1,,
H38,237,A3111,2013-05-20,LO,,,,20430,UNKNLO,10214,Y1242,2,2,54,1,,
H38,238,A3117,2013-05-20,ARLOANHH,,,,20471,X146,10062,P4108,9,3,80,1,,
H38,239,A3118,2013-05-20,ARLOANAN,,,,20437,V131,10195,X0294,3,2,60,1,,
H38,240,A3119,2013-05-20,ARLOANHH,,,,20447,W12,10115,S6248,7,3,73,1,,
H38,241,A3123,2013-05-20,LOLOARAN,,,,20430,UNKNLO,10206,Y1090,2,2,54,1,,
H38,242,A3124,2013-05-21,LOLOARAN,,,,20430,UNKNLO,10201,Y1022,2,3,56,1,,
H38,243,A3128,2013-05-21,ARLOANHH,,,,20471,X146,10103,S6165,7,2,75,1,,
H38,244,A3129,2013-05-21,ARLOARAN,,,,20437,V131,10181,X0089,3,3,75,1,,
H38,245,A3130,2013-05-21,ARARLOAN,,,,20435,V103,480,W9224,4,3,80,1,,
H38,246,A3131,2013-05-21,ARARLOAN,,,,20447,W12,402,U8044,5,3,83,1,,
H38,247,A3132,2013-05-21,ARLOLOHH,,,,20447,W12,414,U8133,5,2,73,1,,
H38,248,A3133,2013-05-21,ARLOANHH,,,,20472,X187,10102,S6164,7,2,84,1,,
H38,249,A3139,2013-05-22,ARARLOAN,,,,20435,V103,453,W9069,4,2,75,1,,
H38,250,A3148,2013-05-23,ARLOANAN,,,,20447,W12,10086,S6094,7,2,70,1,,
H38,251,A3153,2013-05-24,ARARLOAN,,,,20435,V103,457,W9077,4,2,70,1,,
H38,252,A3154,2013-05-24,ARLOANGV,,,,20471,X146,10059,P4082,9,2,84,1,,
H38,253,A3155,2013-05-24,ARARLOLO,,,,20435,V103,478,W9215,4,3,89,1,,
H38,254,A3156,2013-05-24,ARLOANAN,,,,20447,W12,10096,S6124,7,2,69,1,,
H38,255,A3162,2013-05-25,ARARLOLO,,,,20447,W12,417,U8163,5,3,93,1,,
H38,256,A3163,2013-05-25,ARLOANAN,,,,20437,V131,10192,X0290,3,3,77,1,,
H38,257,A3164,2013-05-25,ARLOANHH,,,,20447,W12,10156,U8285,5,3,72,1,,
H38,258,A3165,2013-05-25,ARLOANAN,,,,20437,V131,10187,X0269,3,2,64,1,,
H38,259,A3166,2013-05-25,ARLOAN,,,,20437,V131,10193,X0291,3,2,70,1,,
H38,260,A3176,2013-05-26,ARLOAN,,,,20447,W12,10093,S6115,7,2,69,1,,
H38,261,A3177,2013-05-26,ARARLOAN,,,,20447,W12,472,W9188,4,3,93,1,,
H38,262,A3187,2013-05-27,ARLOANAN,,,,20437,V131,10191,X0287,3,2,74,1,,
