chaps_id,entry_date,weight,hip_height,frame_score,back_fat,rib_eye,marbling,stage
1,02-Jan-00,0,0,0,0,0,0,F
2,02-Jan-00,0,0,0,0,0,0,F
3,02-Jan-00,0,0,0,0,0,0,F
4,02-Jan-00,0,0,0,0,0,0,F
5,02-Jan-00,0,0,0,0,0,0,F
6,02-Jan-00,0,0,0,0,0,0,F
7,02-Jan-00,0,0,0,0,0,0,F
8,02-Jan-00,0,0,0,0,0,0,F
9,02-Jan-00,0,0,0,0,0,0,F
10,02-Jan-00,0,0,0,0,0,0,F
11,02-Jan-00,0,0,0,0,0,0,F
12,02-Jan-00,0,0,0,0,0,0,F
13,02-Jan-00,0,0,0,0,0,0,F
14,02-Jan-00,0,0,0,0,0,0,F
15,02-Jan-00,0,0,0,0,0,0,F
16,02-Jan-00,0,0,0,0,0,0,F
17,02-Jan-00,0,0,0,0,0,0,F
18,02-Jan-00,0,0,0,0,0,0,F
19,02-Jan-00,0,0,0,0,0,0,F
20,02-Jan-00,0,0,0,0,0,0,F
21,02-Jan-00,0,0,0,0,0,0,F
22,02-Jan-00,0,0,0,0,0,0,F
23,02-Jan-00,0,0,0,0,0,0,F
24,02-Jan-00,0,0,0,0,0,0,F
25,02-Jan-00,0,0,0,0,0,0,F
26,02-Jan-00,0,0,0,0,0,0,F
27,02-Jan-00,0,0,0,0,0,0,F
28,02-Jan-00,0,0,0,0,0,0,F
29,02-Jan-00,0,0,0,0,0,0,F
30,02-Jan-00,0,0,0,0,0,0,F
31,02-Jan-00,0,0,0,0,0,0,F
32,02-Jan-00,0,0,0,0,0,0,F
33,02-Jan-00,0,0,0,0,0,0,F
34,02-Jan-00,0,0,0,0,0,0,F
35,02-Jan-00,0,0,0,0,0,0,F
36,02-Jan-00,0,0,0,0,0,0,F
37,02-Jan-00,0,0,0,0,0,0,F
38,02-Jan-00,0,0,0,0,0,0,F
39,02-Jan-00,0,0,0,0,0,0,F
40,02-Jan-00,0,0,0,0,0,0,F
41,02-Jan-00,0,0,0,0,0,0,F
42,02-Jan-00,0,0,0,0,0,0,F
43,02-Jan-00,0,0,0,0,0,0,F
44,02-Jan-00,0,0,0,0,0,0,F
45,02-Jan-00,0,0,0,0,0,0,F
46,02-Jan-00,0,0,0,0,0,0,F
47,02-Jan-00,0,0,0,0,0,0,F
48,02-Jan-00,0,0,0,0,0,0,F
49,02-Jan-00,0,0,0,0,0,0,F
50,02-Jan-00,0,0,0,0,0,0,F
51,02-Jan-00,0,0,0,0,0,0,F
52,02-Jan-00,0,0,0,0,0,0,F
53,02-Jan-00,0,0,0,0,0,0,F
54,02-Jan-00,0,0,0,0,0,0,F
55,02-Jan-00,0,0,0,0,0,0,F
56,02-Jan-00,0,0,0,0,0,0,F
57,02-Jan-00,0,0,0,0,0,0,F
58,02-Jan-00,0,0,0,0,0,0,F
59,02-Jan-00,0,0,0,0,0,0,F
60,02-Jan-00,0,0,0,0,0,0,F
61,02-Jan-00,0,0,0,0,0,0,F
62,02-Jan-00,0,0,0,0,0,0,F
63,02-Jan-00,0,0,0,0,0,0,F
64,02-Jan-00,0,0,0,0,0,0,F
65,02-Jan-00,0,0,0,0,0,0,F
66,02-Jan-00,0,0,0,0,0,0,F
67,02-Jan-00,0,0,0,0,0,0,F
68,02-Jan-00,0,0,0,0,0,0,F
69,02-Jan-00,0,0,0,0,0,0,F
70,02-Jan-00,0,0,0,0,0,0,F
71,02-Jan-00,0,0,0,0,0,0,F
72,02-Jan-00,0,0,0,0,0,0,F
73,02-Jan-00,0,0,0,0,0,0,F
74,02-Jan-00,0,0,0,0,0,0,F
75,02-Jan-00,0,0,0,0,0,0,F
76,02-Jan-00,0,0,0,0,0,0,F
77,02-Jan-00,0,0,0,0,0,0,F
78,02-Jan-00,0,0,0,0,0,0,F
79,02-Jan-00,0,0,0,0,0,0,F
80,02-Jan-00,0,0,0,0,0,0,F
81,02-Jan-00,0,0,0,0,0,0,F
82,02-Jan-00,0,0,0,0,0,0,F
83,02-Jan-00,0,0,0,0,0,0,F
84,02-Jan-00,0,0,0,0,0,0,F
85,02-Jan-00,0,0,0,0,0,0,F
86,02-Jan-00,0,0,0,0,0,0,F
87,02-Jan-00,0,0,0,0,0,0,F
88,02-Jan-00,0,0,0,0,0,0,F
89,02-Jan-00,0,0,0,0,0,0,F
90,02-Jan-00,0,0,0,0,0,0,F
91,02-Jan-00,0,0,0,0,0,0,F
92,02-Jan-00,0,0,0,0,0,0,F
93,02-Jan-00,0,0,0,0,0,0,F
94,02-Jan-00,0,0,0,0,0,0,F
95,02-Jan-00,0,0,0,0,0,0,F
96,02-Jan-00,0,0,0,0,0,0,F
97,02-Jan-00,0,0,0,0,0,0,F
98,02-Jan-00,0,0,0,0,0,0,F
99,02-Jan-00,0,0,0,0,0,0,F
100,02-Jan-00,0,0,0,0,0,0,F
101,02-Jan-00,0,0,0,0,0,0,F
102,02-Jan-00,0,0,0,0,0,0,F
103,02-Jan-00,0,0,0,0,0,0,F
104,02-Jan-00,0,0,0,0,0,0,F
105,02-Jan-00,0,0,0,0,0,0,F
106,02-Jan-00,0,0,0,0,0,0,F
107,02-Jan-00,0,0,0,0,0,0,F
108,02-Jan-00,0,0,0,0,0,0,F
109,02-Jan-00,0,0,0,0,0,0,F
110,02-Jan-00,0,0,0,0,0,0,F
111,02-Jan-00,0,0,0,0,0,0,F
112,02-Jan-00,0,0,0,0,0,0,F
113,02-Jan-00,0,0,0,0,0,0,F
114,02-Jan-00,0,0,0,0,0,0,F
115,02-Jan-00,0,0,0,0,0,0,F
116,02-Jan-00,0,0,0,0,0,0,F
117,02-Jan-00,0,0,0,0,0,0,F
118,02-Jan-00,0,0,0,0,0,0,F
119,02-Jan-00,0,0,0,0,0,0,F
120,02-Jan-00,0,0,0,0,0,0,F
121,02-Jan-00,0,0,0,0,0,0,F
122,02-Jan-00,0,0,0,0,0,0,F
123,02-Jan-00,0,0,0,0,0,0,F
124,02-Jan-00,0,0,0,0,0,0,F
125,02-Jan-00,0,0,0,0,0,0,F
126,02-Jan-00,0,0,0,0,0,0,F
127,02-Jan-00,0,0,0,0,0,0,F
128,02-Jan-00,0,0,0,0,0,0,F
129,02-Jan-00,0,0,0,0,0,0,F
130,02-Jan-00,0,0,0,0,0,0,F
131,02-Jan-00,0,0,0,0,0,0,F
132,02-Jan-00,0,0,0,0,0,0,F
133,02-Jan-00,0,0,0,0,0,0,F
134,02-Jan-00,0,0,0,0,0,0,F
135,02-Jan-00,0,0,0,0,0,0,F
136,02-Jan-00,0,0,0,0,0,0,F
137,02-Jan-00,0,0,0,0,0,0,F
138,02-Jan-00,0,0,0,0,0,0,F
139,02-Jan-00,0,0,0,0,0,0,F
140,02-Jan-00,0,0,0,0,0,0,F
141,02-Jan-00,0,0,0,0,0,0,F
142,02-Jan-00,0,0,0,0,0,0,F
143,02-Jan-00,0,0,0,0,0,0,F
144,02-Jan-00,0,0,0,0,0,0,F
145,02-Jan-00,0,0,0,0,0,0,F
146,02-Jan-00,0,0,0,0,0,0,F
147,02-Jan-00,0,0,0,0,0,0,F
148,02-Jan-00,0,0,0,0,0,0,F
149,02-Jan-00,0,0,0,0,0,0,F
150,02-Jan-00,0,0,0,0,0,0,F
151,02-Jan-00,0,0,0,0,0,0,F
152,02-Jan-00,0,0,0,0,0,0,F
153,02-Jan-00,0,0,0,0,0,0,F
154,02-Jan-00,0,0,0,0,0,0,F
155,02-Jan-00,0,0,0,0,0,0,F
156,02-Jan-00,0,0,0,0,0,0,F
157,02-Jan-00,0,0,0,0,0,0,F
158,02-Jan-00,0,0,0,0,0,0,F
159,02-Jan-00,0,0,0,0,0,0,F
160,02-Jan-00,0,0,0,0,0,0,F
161,02-Jan-00,0,0,0,0,0,0,F
162,02-Jan-00,0,0,0,0,0,0,F
163,02-Jan-00,0,0,0,0,0,0,F
164,02-Jan-00,0,0,0,0,0,0,F
165,02-Jan-00,0,0,0,0,0,0,F
166,02-Jan-00,0,0,0,0,0,0,F
167,02-Jan-00,0,0,0,0,0,0,F
168,02-Jan-00,0,0,0,0,0,0,F
169,02-Jan-00,0,0,0,0,0,0,F
170,02-Jan-00,0,0,0,0,0,0,F
171,02-Jan-00,0,0,0,0,0,0,F
172,02-Jan-00,0,0,0,0,0,0,F
173,02-Jan-00,0,0,0,0,0,0,F
174,02-Jan-00,0,0,0,0,0,0,F
175,02-Jan-00,0,0,0,0,0,0,F
176,02-Jan-00,0,0,0,0,0,0,F
177,02-Jan-00,0,0,0,0,0,0,F
178,02-Jan-00,0,0,0,0,0,0,F
179,02-Jan-00,0,0,0,0,0,0,F
180,02-Jan-00,0,0,0,0,0,0,F
181,02-Jan-00,0,0,0,0,0,0,F
182,02-Jan-00,0,0,0,0,0,0,F
183,02-Jan-00,0,0,0,0,0,0,F
184,02-Jan-00,0,0,0,0,0,0,F
185,02-Jan-00,0,0,0,0,0,0,F
186,02-Jan-00,0,0,0,0,0,0,F
187,02-Jan-00,0,0,0,0,0,0,F
188,02-Jan-00,0,0,0,0,0,0,F
189,02-Jan-00,0,0,0,0,0,0,F
190,02-Jan-00,0,0,0,0,0,0,F
191,02-Jan-00,0,0,0,0,0,0,F
192,02-Jan-00,0,0,0,0,0,0,F
193,02-Jan-00,0,0,0,0,0,0,F
194,02-Jan-00,0,0,0,0,0,0,F
195,,0,0,0,0,0,0,F
196,14-Oct-14,680,0,0,0,0,0,F
197,,0,0,0,0,0,0,F
198,14-Oct-14,652,0,0,0,0,0,F
199,,0,0,0,0,0,0,F
200,14-Oct-14,942,0,0,0,0,0,F
201,,0,0,0,0,0,0,F
202,14-Oct-14,878,0,0,0,0,0,F
203,14-Oct-14,984,0,0,0,0,0,F
204,,0,0,0,0,0,0,F
205,,0,0,0,0,0,0,F
206,14-Oct-14,684,0,0,0,0,0,F
207,,0,0,0,0,0,0,F
208,14-Oct-14,858,0,0,0,0,0,F
209,,0,0,0,0,0,0,F
210,,0,0,0,0,0,0,F
211,,0,0,0,0,0,0,F
212,,0,0,0,0,0,0,F
213,14-Oct-14,834,0,0,0,0,0,F
214,,0,0,0,0,0,0,F
215,,0,0,0,0,0,0,F
216,,0,0,0,0,0,0,F
217,,0,0,0,0,0,0,F
218,,0,0,0,0,0,0,F
219,14-Oct-14,904,0,0,0,0,0,F
220,,0,0,0,0,0,0,F
221,14-Oct-14,960,0,0,0,0,0,F
222,,0,0,0,0,0,0,F
223,,0,0,0,0,0,0,F
224,,0,0,0,0,0,0,F
225,14-Oct-14,916,0,0,0,0,0,F
226,14-Oct-14,976,0,0,0,0,0,F
227,14-Oct-14,1015,0,0,0,0,0,F
228,,0,0,0,0,0,0,F
229,,0,0,0,0,0,0,F
230,14-Oct-14,990,0,0,0,0,0,F
231,,0,0,0,0,0,0,F
232,14-Oct-14,990,0,0,0,0,0,F
233,,0,0,0,0,0,0,F
234,,0,0,0,0,0,0,F
235,,0,0,0,0,0,0,F
236,,0,0,0,0,0,0,F
237,14-Oct-14,660,0,0,0,0,0,F
238,,0,0,0,0,0,0,F
239,14-Oct-14,810,0,0,0,0,0,F
240,,0,0,0,0,0,0,F
241,14-Oct-14,784,0,0,0,0,0,F
242,,0,0,0,0,0,0,F
243,14-Oct-14,936,0,0,0,0,0,F
244,,0,0,0,0,0,0,F
245,,0,0,0,0,0,0,F
246,,0,0,0,0,0,0,F
247,14-Oct-14,888,0,0,0,0,0,F
248,14-Oct-14,922,0,0,0,0,0,F
249,14-Oct-14,882,0,0,0,0,0,F
250,05-May-14,770,0,0,0,0,0,F
251,14-Oct-14,882,0,0,0,0,0,F
252,14-Oct-14,902,0,0,0,0,0,F
253,,0,0,0,0,0,0,F
254,14-Oct-14,932,0,0,0,0,0,F
255,14-Oct-14,854,0,0,0,0,0,F
256,,0,0,0,0,0,0,F
257,,0,0,0,0,0,0,F
258,14-Oct-14,854,0,0,0,0,0,F
259,14-Oct-14,802,0,0,0,0,0,F
260,14-Oct-14,958,0,0,0,0,0,F
261,,0,0,0,0,0,0,F
262,08-May-14,638,0,0,0,0,0,F
263,,0,0,0,0,0,0,F
264,,0,0,0,0,0,0,F
265,08-May-14,794,0,0,0,0,0,F
266,,0,0,0,0,0,0,F
267,14-Oct-14,1080,0,0,0,0,0,F
268,14-Oct-14,1095,0,0,0,0,0,F
269,14-Oct-14,878,0,0,0,0,0,F
270,,0,0,0,0,0,0,F
271,14-Oct-14,828,0,0,0,0,0,F
272,14-Oct-14,1030,0,0,0,0,0,F
273,,0,0,0,0,0,0,F
274,14-Oct-14,808,0,0,0,0,0,F
275,14-Oct-14,606,0,0,0,0,0,F
276,,0,0,0,0,0,0,F
277,14-Oct-14,804,0,0,0,0,0,F
278,14-Oct-14,850,0,0,0,0,0,F
279,,0,0,0,0,0,0,F
280,,0,0,0,0,0,0,F
281,,0,0,0,0,0,0,F
282,,0,0,0,0,0,0,F
283,,0,0,0,0,0,0,F
284,,0,0,0,0,0,0,F
285,,0,0,0,0,0,0,F
286,,0,0,0,0,0,0,F
287,,0,0,0,0,0,0,F
288,,0,0,0,0,0,0,F
289,,0,0,0,0,0,0,F
290,,0,0,0,0,0,0,F
291,,0,0,0,0,0,0,F
292,,0,0,0,0,0,0,F
293,,0,0,0,0,0,0,F
294,,0,0,0,0,0,0,F
295,,0,0,0,0,0,0,F
296,,0,0,0,0,0,0,F
297,,0,0,0,0,0,0,F
298,,0,0,0,0,0,0,F
299,,0,0,0,0,0,0,F
300,,0,0,0,0,0,0,F
301,,0,0,0,0,0,0,F
302,,0,0,0,0,0,0,F
303,,0,0,0,0,0,0,F
304,,0,0,0,0,0,0,F
305,,0,0,0,0,0,0,F
306,,0,0,0,0,0,0,F
307,,0,0,0,0,0,0,F
308,,0,0,0,0,0,0,F
309,,0,0,0,0,0,0,F
310,,0,0,0,0,0,0,F
311,,0,0,0,0,0,0,F
312,,0,0,0,0,0,0,F
313,,0,0,0,0,0,0,F
314,,0,0,0,0,0,0,F
315,,0,0,0,0,0,0,F
316,,0,0,0,0,0,0,F
317,,0,0,0,0,0,0,F
318,,0,0,0,0,0,0,F
319,,0,0,0,0,0,0,F
320,,0,0,0,0,0,0,F
321,,0,0,0,0,0,0,F
322,,0,0,0,0,0,0,F
323,,0,0,0,0,0,0,F
324,,0,0,0,0,0,0,F
325,,0,0,0,0,0,0,F
326,,0,0,0,0,0,0,F
327,,0,0,0,0,0,0,F
328,,0,0,0,0,0,0,F
329,,0,0,0,0,0,0,F
330,,0,0,0,0,0,0,F
331,,0,0,0,0,0,0,F
332,,0,0,0,0,0,0,F
333,,0,0,0,0,0,0,F
334,,0,0,0,0,0,0,F
335,,0,0,0,0,0,0,F
336,,0,0,0,0,0,0,F
337,,0,0,0,0,0,0,F
338,,0,0,0,0,0,0,F
339,,0,0,0,0,0,0,F
340,,0,0,0,0,0,0,F
341,,0,0,0,0,0,0,F
342,,0,0,0,0,0,0,F
343,,0,0,0,0,0,0,F
344,,0,0,0,0,0,0,F
345,,0,0,0,0,0,0,F
